Year,AR6_R10,GW,MWh/yr,MtCO2/yr,Type
2057,R10EUROPE,0.0,0.0,0.0,Const_low
2057,R10INDIA+,0.0,0.0,0.0,Const_low
2057,R10LATIN_AM,0.0,0.0,0.0,Const_low
2057,R10MIDDLE_EAST,0.0,0.0,0.0,Const_low
2057,R10NORTH_AM,0.0,0.0,0.0,Const_low
2057,R10PAC_OECD,0.0,0.0,0.0,Const_low
2057,R10REF_ECON,0.0,0.0,0.0,Const_low
2057,R10REST_ASIA,0.0,0.0,0.0,Const_low
2058,R10AFRICA,0.0,0.0,0.0,Const_low
2058,R10CHINA+,0.0,0.0,0.0,Const_low
2058,R10EUROPE,0.0,0.0,0.0,Const_low
2058,R10INDIA+,0.0,0.0,0.0,Const_low
2058,R10LATIN_AM,0.0,0.0,0.0,Const_low
2058,R10MIDDLE_EAST,0.0,0.0,0.0,Const_low
2058,R10NORTH_AM,0.0,0.0,0.0,Const_low
2058,R10PAC_OECD,0.0,0.0,0.0,Const_low
2058,R10REF_ECON,0.0,0.0,0.0,Const_low
2058,R10REST_ASIA,0.0,0.0,0.0,Const_low
2059,R10AFRICA,0.0,0.0,0.0,Const_low
2059,R10CHINA+,0.0,0.0,0.0,Const_low
2059,R10EUROPE,0.0,0.0,0.0,Const_low
2059,R10INDIA+,0.0,0.0,0.0,Const_low
2059,R10LATIN_AM,0.0,0.0,0.0,Const_low
2059,R10MIDDLE_EAST,0.0,0.0,0.0,Const_low
2059,R10NORTH_AM,0.0,0.0,0.0,Const_low
2059,R10PAC_OECD,0.0,0.0,0.0,Const_low
2059,R10REF_ECON,0.0,0.0,0.0,Const_low
2059,R10REST_ASIA,0.0,0.0,0.0,Const_low
2060,R10AFRICA,0.0,0.0,0.0,Const_low
2060,R10CHINA+,0.0,0.0,0.0,Const_low
2060,R10EUROPE,0.0,0.0,0.0,Const_low
2060,R10INDIA+,0.0,0.0,0.0,Const_low
2060,R10LATIN_AM,0.0,0.0,0.0,Const_low
2060,R10MIDDLE_EAST,0.0,0.0,0.0,Const_low
2060,R10NORTH_AM,0.0,0.0,0.0,Const_low
2060,R10PAC_OECD,0.0,0.0,0.0,Const_low
2060,R10REF_ECON,0.0,0.0,0.0,Const_low
2060,R10REST_ASIA,0.0,0.0,0.0,Const_low
2061,R10AFRICA,0.0,0.0,0.0,Const_low
2061,R10CHINA+,0.0,0.0,0.0,Const_low
2061,R10EUROPE,0.0,0.0,0.0,Const_low
2061,R10INDIA+,0.0,0.0,0.0,Const_low
2061,R10LATIN_AM,0.0,0.0,0.0,Const_low
2061,R10MIDDLE_EAST,0.0,0.0,0.0,Const_low
